pdb,execution_time
pdb7ji2_A_hinge_2_sigma0.8948929172439201.pdb,0.346153
pdb7ji2_A_hinge_0_sigma0.8948929172439201.pdb,0.34442
pdb7ji2_A_hinge_3_sigma0.8948929172439201.pdb,0.30959
pdb7ji2_A_hinge_1_sigma0.8948929172439201.pdb,0.343474
pdb1ax0_A_hinge_0_sigma0.8948929172439201.pdb,0.439559
pdb1ax0_A_hinge_3_sigma0.8948929172439201.pdb,0.399665
pdb1ax0_A_hinge_2_sigma0.8948929172439201.pdb,0.418299
pdb1ax0_A_hinge_1_sigma0.8948929172439201.pdb,0.458093
pdb1ax0_A_hinge_5_sigma0.8948929172439201.pdb,0.431583
pdb1ax0_A_hinge_4_sigma0.8948929172439201.pdb,0.464217
pdb6s06_A_hinge_0_sigma0.8948929172439201.pdb,0.66993
pdb6s06_A_hinge_5_sigma0.8948929172439201.pdb,0.602451
pdb6s06_A_hinge_3_sigma0.8948929172439201.pdb,0.581336
pdb6s06_A_hinge_2_sigma0.8948929172439201.pdb,0.634519
pdb6s06_A_hinge_4_sigma0.8948929172439201.pdb,0.535919
pdb6s06_A_hinge_1_sigma0.8948929172439201.pdb,0.581567
pdb4ba8_A_hinge_2_sigma0.8948929172439201.pdb,0.062654
pdb4ba8_A_hinge_0_sigma0.8948929172439201.pdb,0.046723
pdb4ba8_A_hinge_1_sigma0.8948929172439201.pdb,0.054379
pdb4ba8_A_hinge_3_sigma0.8948929172439201.pdb,0.076913
pdb7b3t_A_hinge_0_sigma0.8948929172439201.pdb,0.251404
pdb7b3t_A_hinge_5_sigma0.8948929172439201.pdb,0.216847
pdb7b3t_A_hinge_4_sigma0.8948929172439201.pdb,0.222404
pdb7b3t_A_hinge_2_sigma0.8948929172439201.pdb,0.28996
pdb7b3t_A_hinge_1_sigma0.8948929172439201.pdb,0.262038
pdb7b3t_A_hinge_3_sigma0.8948929172439201.pdb,0.242284
pdb3u2e_A_hinge_2_sigma0.8948929172439201.pdb,0.307573
pdb3u2e_A_hinge_3_sigma0.8948929172439201.pdb,0.315587
pdb3u2e_A_hinge_0_sigma0.8948929172439201.pdb,0.314312
pdb3u2e_A_hinge_1_sigma0.8948929172439201.pdb,0.317832
pdb3u2e_A_hinge_5_sigma0.8948929172439201.pdb,0.340315
pdb3u2e_A_hinge_4_sigma0.8948929172439201.pdb,0.281477
pdb7c0o_A_hinge_4_sigma0.8948929172439201.pdb,0.763504
pdb7c0o_A_hinge_1_sigma0.8948929172439201.pdb,0.806765
pdb7c0o_A_hinge_5_sigma0.8948929172439201.pdb,0.775086
pdb7c0o_A_hinge_2_sigma0.8948929172439201.pdb,0.837966
pdb7c0o_A_hinge_0_sigma0.8948929172439201.pdb,0.764408
pdb7c0o_A_hinge_3_sigma0.8948929172439201.pdb,0.756646
pdb6thm_A_hinge_1_sigma0.8948929172439201.pdb,1.243194
pdb6thm_A_hinge_5_sigma0.8948929172439201.pdb,1.243871
pdb6thm_A_hinge_4_sigma0.8948929172439201.pdb,1.239114
pdb6thm_A_hinge_2_sigma0.8948929172439201.pdb,1.205055
pdb6thm_A_hinge_0_sigma0.8948929172439201.pdb,1.258929
pdb6thm_A_hinge_3_sigma0.8948929172439201.pdb,1.150122
pdb8bsv_A_hinge_3_sigma0.8948929172439201.pdb,0.444687
pdb8bsv_A_hinge_2_sigma0.8948929172439201.pdb,0.478264
pdb8bsv_A_hinge_1_sigma0.8948929172439201.pdb,0.52672
pdb8bsv_A_hinge_0_sigma0.8948929172439201.pdb,0.540302
pdb8bsv_A_hinge_5_sigma0.8948929172439201.pdb,0.543753
pdb8bsv_A_hinge_4_sigma0.8948929172439201.pdb,0.47269
pdb4zg4_B_hinge_1_sigma0.8948929172439201.pdb,2.788545
pdb4zg4_B_hinge_0_sigma0.8948929172439201.pdb,2.540184
pdb4zg4_B_hinge_2_sigma0.8948929172439201.pdb,2.609208
pdb4zg4_B_hinge_4_sigma0.8948929172439201.pdb,2.497755
pdb4zg4_B_hinge_5_sigma0.8948929172439201.pdb,2.56838
pdb4zg4_B_hinge_3_sigma0.8948929172439201.pdb,2.567126
pdb2qhp_A_hinge_2_sigma0.8948929172439201.pdb,0.349664
pdb2qhp_A_hinge_1_sigma0.8948929172439201.pdb,0.370754
pdb2qhp_A_hinge_4_sigma0.8948929172439201.pdb,0.410754
pdb2qhp_A_hinge_0_sigma0.8948929172439201.pdb,0.410873
pdb2qhp_A_hinge_3_sigma0.8948929172439201.pdb,0.410693
pdb2qhp_A_hinge_5_sigma0.8948929172439201.pdb,0.380453
pdb5jrc_A_hinge_3_sigma0.8948929172439201.pdb,0.766964
pdb5jrc_A_hinge_2_sigma0.8948929172439201.pdb,0.744978
pdb5jrc_A_hinge_0_sigma0.8948929172439201.pdb,0.753367
pdb5jrc_A_hinge_4_sigma0.8948929172439201.pdb,0.744636
pdb5jrc_A_hinge_5_sigma0.8948929172439201.pdb,0.694516
pdb5jrc_A_hinge_1_sigma0.8948929172439201.pdb,0.742661
pdb4cip_A_hinge_3_sigma0.8948929172439201.pdb,0.251339
pdb4cip_A_hinge_4_sigma0.8948929172439201.pdb,0.239902
pdb4cip_A_hinge_2_sigma0.8948929172439201.pdb,0.250245
pdb4cip_A_hinge_1_sigma0.8948929172439201.pdb,0.250791
pdb4cip_A_hinge_0_sigma0.8948929172439201.pdb,0.318552
pdb6fs5_A_hinge_0_sigma0.8948929172439201.pdb,0.017194
pdb2hst_A_hinge_5_sigma0.8948929172439201.pdb,0.058766
pdb2hst_A_hinge_1_sigma0.8948929172439201.pdb,0.062567
pdb2hst_A_hinge_2_sigma0.8948929172439201.pdb,0.098154
pdb2hst_A_hinge_3_sigma0.8948929172439201.pdb,0.07615
pdb2hst_A_hinge_0_sigma0.8948929172439201.pdb,0.089951
pdb2hst_A_hinge_4_sigma0.8948929172439201.pdb,0.065272
pdb4nf8_A_hinge_0_sigma0.8948929172439201.pdb,0.344821
pdb4nf8_A_hinge_4_sigma0.8948929172439201.pdb,0.352197
pdb4nf8_A_hinge_2_sigma0.8948929172439201.pdb,0.321762
pdb4nf8_A_hinge_5_sigma0.8948929172439201.pdb,0.361861
